Nama,Tanggal_Lahir,Tinggi_Badan,Username,Password,Role,Saldo,Gold
Admin,00/00/00000,0,admin,edcba,Admin,0,TRUE
Marcello,23/12/2001,190,mar_cellof,7>1?4#5$57>,Pemain,1200000,FALSE
Bejo,21/11/2001,175,bojolali,7>1 5:,Pemain,300000,TRUE
Andre,20/8/2001,156,andure,"""5'!""5'!",Pemain,200000,FALSE
Andhika,10/10/2001,176,kangen,"#93>1""5 ",Pemain,150000,FALSE
Bambang,5/4/2001,168,pamungkas,12?<1<?2,Pemain,180000,FALSE
Marcello,23/12/2001,180,untuk,#5$,Pemain,0,FALSE
Brandon ,12/12/2000,145,qwer,"""5'!",Pemain,0,FALSE
Andi,12/10/2000,155,toy,")""?$#",Pemain,0,FALSE
Anto 12/11/1990 ,12/12/1990,123,rewq,"!'5""",Pemain,0,FALSE
Budi,12/24/1221,156,astaga,171>,Pemain,0,FALSE
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
